_id,name,slug,profile_path,department_id
FAUiVS52pdmy,Anya Taylor-Joy,anya-taylor-joy,t/p/w300_and_h450_bestv2/yZpghhtKM2VZHDx6JGAZqAVU4PL.jpg,gDFPjt7VZ50Z
Ypf7UlNZQVdV,Trấn Thành,tran-thanh,t/p/w300_and_h450_bestv2/v4lijWKgO5fwsUN7Twvi1DYBXn5.jpg,gDFPjt7VZ50Z
qHEy0c24b-6Z,Ngô Thanh Vân,ngo-thanh-van,t/p/w300_and_h450_bestv2/uvmZVmCbo7d9Zpc9cNEYvqhFKpU.jpg,gDFPjt7VZ50Z
Etri69muBD6J,Kiều Minh Tuấn,kieu-minh-tuan,t/p/w300_and_h450_bestv2/8htmGyEcsF9ClSHEkpQJWkHB7lL.jpg,gDFPjt7VZ50Z
lPWKp-VJ_ySH,Ninh Dương Lan Ngọc,ninh-duong-lan-ngoc,t/p/w300_and_h450_bestv2/ypwd4glGKnAoiLMWH0DuxDkPvKE.jpg,gDFPjt7VZ50Z
pHlnQgj1bXZD,Lý Hải,ly-hai,t/p/w300_and_h450_bestv2/qmPEmGwDEINEoiQywHuGR0dCz0A.jpg,gDFPjt7VZ50Z
KSVQ9YgTfKh5,Kaity Nguyễn,kaity-nguyen,t/p/w300_and_h450_bestv2/n78QM4icCLlhWLBn1eXhRSX21Lg.jpg,gDFPjt7VZ50Z
ZfnArH9rS97W,Mạc Văn Khoa,mac-van-khoa,t/p/w300_and_h450_bestv2/5IKZTF7PLbxo3uUOufpJn1atCF2.jpg,gDFPjt7VZ50Z
WgGKRohIvKeB,Thu Trang,thu-trang,t/p/w300_and_h450_bestv2/oSpHBUKu9vNcmQTJD9w936jJD7R.jpg,gDFPjt7VZ50Z
3FDyszl1dn3N,Tiến Luật,tien-luat,t/p/w300_and_h450_bestv2/oF3y6nJ4R9EmzHfynPcQ58BN6Gr.jpg,gDFPjt7VZ50Z
5EQOA2lv-Ew3,Hứa Vĩ Văn,hua-vi-van,none,gDFPjt7VZ50Z
GaMVV8toHF3J,Isaac Phạm,isaac-pham,t/p/w300_and_h450_bestv2/2RVb2HyDHVg6wsCOO9cjeaE2232.jpg,gDFPjt7VZ50Z
xXt4N5vDiSjR,Hoài Linh,hoai-linh,t/p/w300_and_h450_bestv2/sUTrL2w0i1ctXc8LNZnmetQz8e4.jpg,gDFPjt7VZ50Z
u3zOQ35QCPyT,Diễm My 9x,diem-my-9x,t/p/w300_and_h450_bestv2/9seJmlinOz2gHm4OfYS0XBRjxwB.jpg,gDFPjt7VZ50Z
lPu0OST8iY0s,Cát Phượng,cat-phuong,t/p/w300_and_h450_bestv2/upEwqbgL12LRywLaAKAmAYqoiiq.jpg,gDFPjt7VZ50Z
XgwZx-WdKqt_,Minh Hằng,minh-hang,t/p/w300_and_h450_bestv2/lEApjHOooY12wAzPRdftgbSaqDy.jpg,gDFPjt7VZ50Z
aaiXouTEwFbV,Christopher Nolan,christopher-nolan,t/p/w300_and_h450_bestv2/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg,VIYft7Yn3YZK
bdh5e2798JlW,Steven Spielberg,steven-spielberg,t/p/w300_and_h450_bestv2/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,VIYft7Yn3YZK
pW6DrhG7GS-8,Martin Scorsese,martin-scorsese,t/p/w300_and_h450_bestv2/9U9Y5GQuWX3EZy39B8nkk4NY01S.jpg,VIYft7Yn3YZK
vZgZFZNPTyT7,Quentin Tarantino,quentin-tarantino,t/p/w300_and_h450_bestv2/1gjcpAa99FAOWGnrUvHEXXsRs7o.jpg,VIYft7Yn3YZK
YAJ5uUmPFmB7,James Cameron,james-cameron,t/p/w300_and_h450_bestv2/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,VIYft7Yn3YZK
bVlY1if8Ffr7,Ridley Scott,ridley-scott,t/p/w300_and_h450_bestv2/97SO7H0UlS3racqjeW5JTy8c6GM.jpg,VIYft7Yn3YZK
Yeb_KO3cUi8T,Denis Villeneuve,denis-villeneuve,t/p/w300_and_h450_bestv2/zdDx9Xs93UIrJFWYApYR28J8M6b.jpg,VIYft7Yn3YZK
tzusSiWOKXVV,Peter Jackson,peter-jackson,t/p/w300_and_h450_bestv2/bNc908d59Ba8VDNr4eCcm4G1cR.jpg,VIYft7Yn3YZK
2dZHoidU4d78,Bong Joon-ho,bong-joon-ho,t/p/w300_and_h450_bestv2/tKLJBqbdH6HFj2QxLA5o8Zk7IVs.jpg,VIYft7Yn3YZK
gtecPEOIMc_V,Wes Anderson,wes-anderson,t/p/w300_and_h450_bestv2/s03CeUeC5yAXyB1acqP0zGNo2SC.jpg,VIYft7Yn3YZK
jt7rQy0lNSGV,Taika Waititi,taika-waititi,,VIYft7Yn3YZK
fk_HrLdqZzar,David Fincher,david-fincher,,VIYft7Yn3YZK
AsHMZR7z1Be9,Greta Gerwig,greta-gerwig,,VIYft7Yn3YZK
VqfgQ4SPsdrG,Chloé Zhao,chloe-zhao,,VIYft7Yn3YZK
vuRtSAvgHKGu,Guillermo del Toro,guillermo-del-toro,,VIYft7Yn3YZK
TzhpndL8QiOq,Roger Deakins,roger-deakins,,ZFwptQARMMnB
lE9DkbziQk6_,Thelma Schoonmaker,thelma-schoonmaker,,jtQJ2rkWC0Ga
6lQ4PRzxC-0-,Hans Zimmer,hans-zimmer,,nA3dLW16_J4V
2htO9ouxB-fl,Rick Carter,rick-carter,,aGVVNNmj98DC
i3hxIZ9yifHX,Jacqueline Durran,jacqueline-durran,,1DPM1t8idIoo
TQDUcs4JNQEj,Kazu Hiro,kazu-hiro,,C9ZIxdgbbgyQ
yrGcdHqD0erO,Joe Letteri,joe-letteri,,AN5HkJQGMYUW
23zWTO5dGGjz,Dennis Muren,dennis-muren,,psocS_JfkmqC
5RjlP4oEF0xA,Erik Aadahl,erik-aadahl,,uEJo5XDzyVKE
TzaeJUWzrwy7,Kathleen Kennedy,kathleen-kennedy,,rRZRrxF3-NNI
v2HP2AsDejDC,James McTeigue,james-mcteigue,,_HYpOJrWfsbC
AO1fdnKzY7pY,Richard King,richard-king,,BBwSbRQDQNZT
0BPbjVzE745L,John Knoll,john-knoll,,73WuVpA3gbNF
